id,customer_id,gender,age
100420,224,M,34
100421,63,M,30
100422,5,M,32
100423,151,F,54
100424,22,M,48
100425,345,M,38
100426,95,M,33
100427,133,F,54
100428,272,M,51
100429,351,F,34
100430,345,M,39
100431,48,F,36
100432,11,M,39
100433,206,M,42
100434,178,M,25
100435,177,F,46
100436,146,M,52
100437,252,F,33
100438,54,F,50
100439,55,M,26
100440,113,M,29
100441,103,M,51
100442,243,M,43
100443,234,M,25
100444,170,M,31
100445,265,M,42
100446,3,M,39
100447,298,M,53
100448,143,M,34
100449,267,M,48
100450,293,M,39
100451,347,M,25
100452,168,M,34
100453,205,M,34
100454,153,M,42
100455,102,M,27
100456,303,M,49
100457,40,F,33
100458,166,M,49
100459,188,F,26
100460,283,M,25
100461,228,F,51
100462,242,F,32
100463,55,F,41
100464,238,F,32
100465,68,F,40
100466,225,M,34
100467,263,F,46
100468,232,M,43
100469,118,F,50
100470,91,F,34
100471,128,F,25
100472,100,M,41
100473,71,F,32
100474,64,M,43
100475,337,F,49
100476,69,F,39
100477,340,F,41
100478,176,M,37
100479,168,M,37
100480,16,M,26
100481,166,F,54
100482,142,M,27
100483,130,M,25
100484,323,F,53
100485,258,M,44
100486,361,M,45
100487,357,F,31
100488,358,F,54
100489,156,F,52
100490,169,M,42
100491,74,F,40
100492,266,M,41
100493,323,M,40
100494,10,M,53
100495,306,F,47
100496,124,M,27
100497,345,F,39
100498,55,F,40
100499,292,F,26
100500,3,F,54
100501,176,F,46
100502,272,F,49
100503,325,M,37
100504,162,M,42
100505,219,F,41
100506,192,M,39
100507,169,F,42
100508,200,M,32
100509,248,F,53
100510,323,F,41
100511,196,F,37
100512,78,F,25
100513,352,F,26
100514,294,M,37
100515,63,M,29
100516,149,F,31
100517,83,M,54
100518,218,M,46
100519,89,F,36
100520,315,M,35
100521,364,F,33
100522,263,M,39
100523,299,F,54
100524,207,M,25
100525,321,F,47
100526,292,F,54
100527,349,F,48
100528,106,F,25
100529,100,F,33
100530,113,F,46
100531,158,F,50
100532,289,M,49
100533,145,F,48
100534,362,M,31
100535,188,M,31
100536,311,M,35
100537,267,F,35
100538,307,M,53
100539,315,M,40
100540,251,M,27
100541,116,F,33
100542,46,M,39
100543,157,M,33
100544,312,M,42
100545,153,F,42
100546,65,F,49
100547,163,M,37
100548,25,F,27
100549,278,M,48
100550,137,F,45
100551,80,F,45
100552,282,M,54
100553,96,F,36
100554,135,M,52
100555,211,M,27
100556,336,F,33
100557,57,M,50
100558,28,F,42
100559,61,F,40
100560,19,M,25
100561,154,F,47
100562,60,M,30
100563,329,M,32
100564,330,F,27
100565,198,F,50
100566,270,F,41
100567,66,F,32
100568,302,M,35
100569,167,M,38
100570,4,F,46
100571,91,M,39
100572,2,F,38
100573,342,M,32
100574,197,M,39
100575,295,M,32
100576,246,F,26
100577,49,M,38
100578,47,M,45
100579,268,M,53
100580,231,M,53
100581,271,M,28
100582,84,M,36
100583,306,F,27
100584,113,M,52
100585,6,F,43
100586,141,M,47
100587,4,F,40
100588,282,F,46
100589,65,M,52
100590,52,M,37
100591,172,M,43
100592,231,M,34
100593,103,M,42
100594,364,M,45
100595,215,M,54
100596,126,F,54
100597,326,M,38
100598,201,F,53
100599,150,M,46
100600,33,F,35
100601,119,F,53
100602,48,F,25
100603,29,M,45
100604,259,M,29
100605,331,F,40
100606,47,M,28
100607,276,F,34
100608,228,F,36
100609,333,F,51
100610,3,M,40
100611,105,F,33
100612,356,F,48
100613,211,F,38
100614,24,M,28
100615,16,M,27
100616,2,F,37
100617,158,F,29
100618,197,M,44
100619,46,F,39
100620,342,M,42
100621,346,F,47
100622,191,F,26
100623,70,F,36
100624,190,M,36
100625,207,M,34
100626,219,F,35
100627,120,M,47
100628,290,F,50
100629,62,F,37
100630,60,F,26
100631,45,F,39
100632,292,M,50
100633,268,F,37
100634,318,M,47
100635,328,F,25
100636,208,M,27
100637,355,F,41
100638,304,M,45
100639,20,M,52
100640,38,F,53
100641,90,F,33
100642,126,F,31
100643,260,F,34
100644,121,M,51
100645,260,M,53
100646,1,M,52
100647,154,M,51
100648,209,F,28
100649,67,F,31
100650,261,M,26
100651,66,F,33
100652,143,M,38
100653,48,M,39
100654,185,F,27
100655,11,F,32
100656,73,F,29
100657,339,F,26
100658,345,M,40
100659,82,F,28
100660,348,M,34
100661,35,M,34
100662,12,M,49
100663,100,F,48
100664,203,M,42
100665,301,M,35
100666,174,F,36
100667,108,F,35
100668,82,F,51
100669,319,M,54
100670,149,M,39
100671,216,F,41
100672,136,M,32
100673,170,F,47
100674,200,F,29
100675,131,F,27
100676,322,F,36
100677,96,F,43
100678,188,F,27
100679,127,M,27
100680,188,F,26
100681,60,F,53
100682,16,F,42
100683,336,M,31
100684,7,F,33
100685,356,F,26
100686,164,M,34
100687,25,F,29
100688,221,M,29
100689,269,F,45
100690,239,F,50
100691,5,F,25
100692,72,M,48
100693,51,F,34
100694,261,F,47
100695,185,F,39
100696,91,F,27
100697,228,M,49
100698,24,F,47
100699,269,M,39
100700,88,F,31
100701,68,M,45
100702,135,M,32
100703,193,M,46
100704,154,F,38
100705,325,F,54
100706,289,M,40
100707,362,F,29
100708,15,F,31
100709,53,M,52
100710,175,M,49
100711,91,M,45
100712,284,M,48
100713,270,M,45
100714,270,M,25
100715,266,F,34
100716,239,M,41
100717,36,M,26
100718,72,F,38
100719,86,F,41
100720,322,M,46
100721,117,F,41
100722,95,M,29
100723,80,M,53
100724,357,M,49
100725,107,M,49
100726,279,F,41
100727,364,M,31
100728,115,F,52
100729,51,M,50
100730,335,F,54
100731,1,M,50
100732,237,M,35
100733,349,F,51
100734,255,F,38
100735,266,F,27
100736,292,M,37
100737,223,F,30
100738,129,M,40
100739,39,F,43
100740,144,F,47
100741,65,M,49
100742,195,M,25
100743,297,F,26
100744,210,F,27
100745,258,F,42
100746,338,F,39
100747,264,F,33
100748,121,F,50
100749,145,M,32
100750,238,F,45
100751,183,M,35
100752,200,F,27
100753,11,F,37
100754,92,F,34
100755,107,M,53
100756,215,F,37
100757,93,M,31
100758,155,F,45
100759,242,F,50
100760,158,F,29
100761,205,F,26
100762,48,F,47
100763,260,F,32
100764,249,M,39
100765,359,F,30
100766,293,F,50
100767,31,M,48
100768,192,F,52
100769,336,M,44
100770,284,F,35
100771,12,F,49
100772,91,M,46
100773,218,M,34
100774,159,M,34
100775,315,M,54
100776,172,M,51
100777,294,M,36
100778,272,F,25
100779,334,M,52
100780,299,F,32
100781,5,M,40
100782,233,M,51
100783,309,F,27
100784,236,F,54
100785,302,M,45
100786,210,M,53
100787,178,F,49
100788,151,M,54
100789,261,M,39
100790,292,F,51
100791,353,M,51
100792,30,F,52
100793,32,F,30
100794,321,F,54
100795,284,F,38
100796,160,F,48
100797,339,M,29
100798,283,M,34
100799,31,M,34
100800,60,F,32
100801,14,M,43
100802,327,M,26
100803,75,M,33
100804,71,M,44
100805,320,M,35
100806,200,F,26
100807,323,F,33
100808,211,M,30
100809,351,F,46
100810,272,M,38
100811,342,M,33
100812,259,M,28
100813,187,F,49
100814,322,M,40
100815,324,F,49
100816,362,M,50
100817,354,F,29
100818,206,F,48
100819,103,M,36
100820,168,M,26
100821,29,F,46
100822,147,F,41
100823,228,M,47
100824,260,M,38
100825,216,F,34
100826,255,F,44
100827,62,F,31
100828,18,M,53
100829,349,F,33
100830,36,F,52
100831,352,M,50
100832,305,F,48
100833,17,M,42
100834,350,M,54
100835,270,F,35
100836,83,M,48
100837,80,M,27
100838,196,F,50
100839,116,F,43
100840,68,F,42
100841,193,M,36
100842,348,F,29
100843,107,M,53
100844,141,M,51
100845,83,M,36
100846,202,M,52
100847,343,M,31
100848,355,M,47
100849,264,F,30
100850,112,F,53
100851,5,F,43
100852,37,F,41
100853,191,M,38
100854,306,M,33
100855,72,M,44
100856,212,F,40
100857,347,F,29
100858,24,F,52
100859,132,M,52
100860,14,F,50
100861,4,M,46
100862,170,M,35
100863,356,M,34
100864,77,M,54
100865,268,F,34
100866,322,M,35
100867,116,M,47
100868,97,M,45
100869,138,M,49
100870,191,F,50
100871,188,F,34
100872,291,F,45
100873,22,M,32
100874,194,F,45
100875,26,M,39
100876,314,F,44
100877,280,M,41
100878,27,M,30
100879,231,F,35
100880,268,M,41
100881,72,M,25
100882,315,F,47
100883,254,M,32
100884,347,M,39
100885,199,F,35
100886,327,M,32
100887,358,M,27
100888,172,F,38
100889,242,M,28
100890,53,M,44
100891,72,F,30
100892,252,F,54
100893,215,F,42
100894,233,F,54
100895,315,M,31
100896,323,M,41
100897,229,M,47
100898,103,M,49
100899,362,M,26
100900,131,M,47
100901,92,F,53
100902,6,F,53
100903,270,F,45
100904,266,F,40
100905,74,F,29
100906,344,F,52
100907,53,M,31
100908,59,M,26
100909,222,F,54
100910,9,F,48
100911,254,F,45
100912,67,M,26
100913,183,F,53
100914,46,F,40
100915,322,F,31
100916,344,M,38
100917,17,F,54
100918,287,F,45
100919,169,F,29
100920,243,F,30
100921,198,F,27
100922,4,F,43
100923,203,M,38
100924,130,F,38
100925,123,F,46
100926,186,F,51
100927,95,M,36
100928,41,M,52
100929,39,F,36
100930,203,F,26
100931,108,M,45
100932,125,M,42
100933,352,F,51
100934,322,M,42
100935,56,M,29
100936,317,M,41
100937,10,F,51
100938,195,M,34
100939,119,F,54
100940,285,F,28
100941,13,M,38
100942,88,M,52
100943,235,M,48
100944,83,M,29
100945,214,F,42
100946,235,M,27
100947,56,F,35
100948,250,F,26
100949,314,M,26
100950,242,F,26
100951,210,M,32
100952,358,M,33
100953,203,F,28
100954,230,M,35
100955,7,M,49
100956,55,M,31
100957,54,M,41
100958,347,F,45
100959,222,F,38
100960,127,F,29
100961,296,M,42
100962,222,M,48
100963,209,F,28
100964,193,M,44
100965,361,M,54
100966,357,M,39
100967,114,M,33
100968,25,F,51
100969,231,F,50
100970,310,F,47
100971,328,M,40
100972,96,M,43
100973,156,M,41
100974,86,F,29
100975,4,M,54
100976,98,F,46
100977,125,F,25
100978,158,M,42
100979,247,M,35
100980,342,M,41
100981,129,M,47
100982,114,M,45
100983,15,M,44
100984,235,M,54
100985,45,M,46
100986,230,M,40
100987,143,M,44
100988,228,M,37
100989,187,F,36
100990,17,F,36
100991,68,M,30
100992,359,F,49
100993,260,M,46
100994,108,F,50
100995,224,F,53
100996,266,F,50
100997,66,F,53
100998,251,F,45
100999,270,F,25
